alpha,seed,steps,converged
0.15,0,58650,True
0.15,1,67700,True
0.15,2,100000,False
0.15,3,100000,False
0.15,4,60000,True
0.15,5,100000,False
0.15,6,40850,True
0.15,7,100000,False
0.15,8,64800,True
0.15,9,100000,False
0.2,0,13250,True
0.2,1,17050,True
0.2,2,19400,True
0.2,3,12700,True
0.2,4,17750,True
0.2,5,15000,True
0.2,6,15150,True
0.2,7,15950,True
0.2,8,15100,True
0.2,9,15200,True
0.25,0,7300,True
0.25,1,6150,True
0.25,2,6250,True
0.25,3,7050,True
0.25,4,6500,True
0.25,5,6550,True
0.25,6,7650,True
0.25,7,5150,True
0.25,8,9250,True
0.25,9,8450,True
0.3,0,4300,True
0.3,1,5550,True
0.3,2,3550,True
0.3,3,5200,True
0.3,4,4750,True
0.3,5,5250,True
0.3,6,4950,True
0.3,7,6050,True
0.3,8,4850,True
0.3,9,4400,True
0.35,0,3350,True
0.35,1,3450,True
0.35,2,4450,True
0.35,3,4050,True
0.35,4,3000,True
0.35,5,3850,True
0.35,6,3700,True
0.35,7,3950,True
0.35,8,3800,True
0.35,9,4150,True
0.4,0,3050,True
0.4,1,2950,True
0.4,2,2600,True
0.4,3,3450,True
0.4,4,3150,True
0.4,5,2500,True
0.4,6,2950,True
0.4,7,2950,True
0.4,8,3050,True
0.4,9,3100,True
0.45,0,2850,True
0.45,1,2150,True
0.45,2,2250,True
0.45,3,1950,True
0.45,4,3000,True
0.45,5,2400,True
0.45,6,2700,True
0.45,7,2650,True
0.45,8,2750,True
0.45,9,2300,True
0.5,0,1850,True
0.5,1,2350,True
0.5,2,1850,True
0.5,3,2050,True
0.5,4,2200,True
0.5,5,1950,True
0.5,6,2150,True
0.5,7,2150,True
0.5,8,2100,True
0.5,9,2200,True
0.55,0,1600,True
0.55,1,1800,True
0.55,2,2000,True
0.55,3,2100,True
0.55,4,1800,True
0.55,5,2450,True
0.55,6,1850,True
0.55,7,2250,True
0.55,8,1950,True
0.55,9,1500,True
0.6,0,1900,True
0.6,1,1450,True
0.6,2,1600,True
0.6,3,1400,True
0.6,4,1000,True
0.6,5,950,True
0.6,6,1700,True
0.6,7,1050,True
0.6,8,1300,True
0.6,9,1600,True
0.65,0,1200,True
0.65,1,1300,True
0.65,2,1000,True
0.65,3,1000,True
0.65,4,1050,True
0.65,5,1350,True
0.65,6,1300,True
0.65,7,1050,True
0.65,8,1400,True
0.65,9,950,True
0.7,0,1150,True
0.7,1,1150,True
0.7,2,1150,True
0.7,3,500,True
0.7,4,1400,True
0.7,5,1200,True
0.7,6,1350,True
0.7,7,1250,True
0.7,8,1500,True
0.7,9,1200,True
0.75,0,850,True
0.75,1,700,True
0.75,2,600,True
0.75,3,500,True
0.75,4,500,True
0.75,5,550,True
0.75,6,950,True
0.75,7,800,True
0.75,8,650,True
0.75,9,850,True
0.8,0,800,True
0.8,1,750,True
0.8,2,700,True
0.8,3,650,True
0.8,4,600,True
0.8,5,750,True
0.8,6,750,True
0.8,7,650,True
0.8,8,700,True
0.8,9,600,True
0.85,0,450,True
0.85,1,700,True
0.85,2,700,True
0.85,3,550,True
0.85,4,500,True
0.85,5,550,True
0.85,6,600,True
0.85,7,600,True
0.85,8,650,True
0.85,9,550,True
